Arizona Cardinals  ,NFC West
Atlanta Falcons  ,NFC South
Baltimore Ravens  ,AFC North
Buffalo Bills  ,AFC East
Carolina Panthers  ,NFC South
Chicago Bears  ,NFC North
Cincinnati Bengals  ,AFC North
Cleveland Browns  ,AFC North
Dallas Cowboys  ,NFC East
Denver Broncos  ,AFC West
Detroit Lions  ,NFC North
Green Bay Packers  ,NFC North
Houston Texans  ,AFC South
Indianapolis Colts  ,AFC South
Jacksonville Jaguars  ,AFC South
Kansas City Chiefs  ,AFC West
Miami Dolphins  ,AFC East
Minnesota Vikings  ,NFC North
New England Patriots  ,AFC East
New Orleans Saints  ,NFC South
NY Giants  ,NFC East
NY Jets  ,AFC East
Oakland Raiders  ,AFC West
Philadelphia Eagles  ,NFC East
Pittsburgh Steelers  ,AFC North
San Diego Chargers  ,AFC West
San Francisco 49ers  ,NFC West
Seattle Seahawks  ,NFC West
St. Louis Rams  ,NFC West
Tampa Bay Buccaneers  ,NFC South
Tennessee Titans  ,AFC South
Washington Redskins  ,NFC East
